text,label
New technology can predict and stop Hurricane before they happen in Florida.,fake
Federal aid deployed to assist Illinois after devastating Snowstorm.,real
Government issues evacuation orders as Wildfire approaches Oklahoma.,real
Emergency response teams rescue residents from Earthquake aftermath in North Carolina.,real
Underground bunkers built for elites before Hurricane in New York.,fake
Secret alien base found in Louisiana after massive Tornado.,fake
"HAARP project caused the Snowstorm in Nevada, experts claim.",fake
Emergency response teams rescue residents from Earthquake aftermath in North Carolina.,real
Secret alien base found in Louisiana after massive Tornado.,fake
Power outages reported across Washington due to Hurricane.,real
Red Cross sets up relief camps for Hurricane survivors in Missouri.,real
Military assists in disaster recovery efforts after Snowstorm in Washington.,real
Government hiding real damage caused by Earthquake in Louisiana.,fake
"HAARP project caused the Snowstorm in Nevada, experts claim.",fake
Underground bunkers built for elites before Hurricane in New York.,fake
Government issues evacuation orders as Wildfire approaches Oklahoma.,real
Government hiding real damage caused by Earthquake in Louisiana.,fake
Bill Gates' plan to manipulate weather exposed in Arizona Flood incident.,fake
Scientists warn about increasing Flood risk in North Carolina due to climate change.,real
Emergency response teams rescue residents from Earthquake aftermath in North Carolina.,real
Power outages reported across Washington due to Hurricane.,real
Power outages reported across Washington due to Hurricane.,real
"HAARP project caused the Snowstorm in Nevada, experts claim.",fake
Government hiding real damage caused by Earthquake in Louisiana.,fake
Military assists in disaster recovery efforts after Snowstorm in Washington.,real
Residents report seeing strange lights in the sky before Hurricane struck Tennessee.,fake
Bill Gates' plan to manipulate weather exposed in Arizona Flood incident.,fake
"HAARP project caused the Snowstorm in Nevada, experts claim.",fake
Pharmaceutical companies spreading false Flood fears to sell more vaccines in Georgia.,fake
Federal aid deployed to assist Illinois after devastating Snowstorm.,real
Red Cross sets up relief camps for Hurricane survivors in Missouri.,real
"HAARP project caused the Snowstorm in Nevada, experts claim.",fake
Secret alien base found in Louisiana after massive Tornado.,fake
Underground bunkers built for elites before Hurricane in New York.,fake
Secret alien base found in Louisiana after massive Tornado.,fake
Residents report seeing strange lights in the sky before Hurricane struck Tennessee.,fake
Secret alien base found in Louisiana after massive Tornado.,fake
Emergency response teams rescue residents from Earthquake aftermath in North Carolina.,real
Secret alien base found in Louisiana after massive Tornado.,fake
Pharmaceutical companies spreading false Flood fears to sell more vaccines in Georgia.,fake
"HAARP project caused the Snowstorm in Nevada, experts claim.",fake
Underground bunkers built for elites before Hurricane in New York.,fake
Red Cross sets up relief camps for Hurricane survivors in Missouri.,real
Power outages reported across Washington due to Hurricane.,real
Pharmaceutical companies spreading false Flood fears to sell more vaccines in Georgia.,fake
New technology can predict and stop Hurricane before they happen in Florida.,fake
Government hiding real damage caused by Earthquake in Louisiana.,fake
Red Cross sets up relief camps for Hurricane survivors in Missouri.,real
Pharmaceutical companies spreading false Flood fears to sell more vaccines in Georgia.,fake
Emergency response teams rescue residents from Earthquake aftermath in North Carolina.,real
"HAARP project caused the Snowstorm in Nevada, experts claim.",fake
New technology can predict and stop Hurricane before they happen in Florida.,fake
Residents report seeing strange lights in the sky before Hurricane struck Tennessee.,fake
Secret alien base found in Louisiana after massive Tornado.,fake
"Oklahoma hit by severe Tornado, thousands affected.",real
"HAARP project caused the Snowstorm in Nevada, experts claim.",fake
"Oklahoma hit by severe Tornado, thousands affected.",real
Pharmaceutical companies spreading false Flood fears to sell more vaccines in Georgia.,fake
Underground bunkers built for elites before Hurricane in New York.,fake
Bill Gates' plan to manipulate weather exposed in Arizona Flood incident.,fake
Emergency response teams rescue residents from Earthquake aftermath in North Carolina.,real
New technology can predict and stop Hurricane before they happen in Florida.,fake
Secret alien base found in Louisiana after massive Tornado.,fake
"HAARP project caused the Snowstorm in Nevada, experts claim.",fake
Red Cross sets up relief camps for Hurricane survivors in Missouri.,real
Government hiding real damage caused by Earthquake in Louisiana.,fake
Military assists in disaster recovery efforts after Snowstorm in Washington.,real
"Oklahoma hit by severe Tornado, thousands affected.",real
Government hiding real damage caused by Earthquake in Louisiana.,fake
Underground bunkers built for elites before Hurricane in New York.,fake
Power outages reported across Washington due to Hurricane.,real
Power outages reported across Washington due to Hurricane.,real
Federal aid deployed to assist Illinois after devastating Snowstorm.,real
Underground bunkers built for elites before Hurricane in New York.,fake
Pharmaceutical companies spreading false Flood fears to sell more vaccines in Georgia.,fake
Government hiding real damage caused by Earthquake in Louisiana.,fake
"HAARP project caused the Snowstorm in Nevada, experts claim.",fake
Government issues evacuation orders as Wildfire approaches Oklahoma.,real
Military assists in disaster recovery efforts after Snowstorm in Washington.,real
Federal aid deployed to assist Illinois after devastating Snowstorm.,real
Underground bunkers built for elites before Hurricane in New York.,fake
"Oklahoma hit by severe Tornado, thousands affected.",real
"HAARP project caused the Snowstorm in Nevada, experts claim.",fake
Underground bunkers built for elites before Hurricane in New York.,fake
New technology can predict and stop Hurricane before they happen in Florida.,fake
